service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at,drive_min
marc,11705,Train421,2026-05-29,11980,PENN STATION MARC sb,2026-05-29T12:30:00Z,2026-05-29T12:30:00Z,NA,NA,2026-05-29T12:41:48Z,64.5
marc,11705,Train421,2026-05-29,11958,UNION STATION MARC Washington,NA,NA,2026-05-29T13:32:00Z,2026-05-29T13:33:37Z,2026-05-29T12:41:48Z,64.5
marc,11705,Train419,2026-05-29,11980,PENN STATION MARC sb,2026-05-29T11:50:00Z,2026-05-29T11:50:00Z,NA,NA,2026-05-29T12:41:48Z,64.5
marc,11705,Train419,2026-05-29,11958,UNION STATION MARC Washington,NA,NA,2026-05-29T12:53:00Z,2026-05-29T12:55:01Z,2026-05-29T12:41:48Z,64.5
marc,11705,Train612,2026-05-29,11958,UNION STATION MARC Washington,2026-05-29T12:20:00Z,2026-05-29T12:21:34Z,NA,NA,2026-05-29T12:41:48Z,64.5
marc,11705,Train612,2026-05-29,12002,PENN STATION MARC nb,2026-05-29T13:20:00Z,2026-05-29T13:22:03Z,2026-05-29T13:17:00Z,2026-05-29T13:19:03Z,2026-05-29T12:41:48Z,64.5
marc,11705,Train610,2026-05-29,11958,UNION STATION MARC Washington,2026-05-29T11:50:00Z,2026-05-29T11:51:26Z,NA,NA,2026-05-29T12:41:48Z,64.5
marc,11705,Train610,2026-05-29,12002,PENN STATION MARC nb,2026-05-29T12:46:00Z,2026-05-29T12:50:48Z,2026-05-29T12:40:15Z,2026-05-29T12:45:03Z,2026-05-29T12:41:48Z,64.5
amtrak,NER,66,2026-05-29,BAL,Baltimore Penn Station,2026-05-29T02:51:00Z,2026-05-29T02:52:00Z,2026-05-29T02:49:00Z,2026-05-29T02:47:00Z,2026-05-29T12:41:48Z,64.5
amtrak,NER,66,2026-05-29,WAS,Washington Union Station,2026-05-29T02:00:00Z,2026-05-29T02:06:00Z,2026-05-29T01:28:00Z,2026-05-29T01:35:00Z,2026-05-29T12:41:48Z,64.5
amtrak,NER,67,2026-05-29,BAL,Baltimore Penn Station,2026-05-29T10:04:00Z,2026-05-29T10:04:00Z,2026-05-29T10:02:00Z,2026-05-29T09:59:00Z,2026-05-29T12:41:48Z,64.5
amtrak,NER,67,2026-05-29,WAS,Washington Union Station,2026-05-29T11:20:00Z,2026-05-29T11:20:00Z,2026-05-29T10:54:00Z,2026-05-29T10:51:00Z,2026-05-29T12:41:48Z,64.5
amtrak,NER,86,2026-05-29,BAL,Baltimore Penn Station,2026-05-29T13:33:00Z,2026-05-29T13:31:00Z,2026-05-29T13:31:00Z,2026-05-29T13:31:00Z,2026-05-29T12:41:48Z,64.5
amtrak,NER,86,2026-05-29,WAS,Washington Union Station,2026-05-29T12:50:00Z,2026-05-29T12:50:00Z,2026-05-29T12:18:00Z,2026-05-29T12:23:00Z,2026-05-29T12:41:48Z,64.5
amtrak,NER,93,2026-05-29,BAL,Baltimore Penn Station,2026-05-29T20:39:00Z,2026-05-29T20:39:00Z,2026-05-29T20:37:00Z,2026-05-29T20:37:00Z,2026-05-29T12:41:48Z,64.5
