service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at,drive_min
marc,11705,Train407,2026-03-10,11980,PENN STATION MARC sb,2026-03-10T09:40:00Z,2026-03-10T09:40:00Z,NA,NA,2026-03-10T10:07:35Z,67.4
marc,11705,Train407,2026-03-10,11958,UNION STATION MARC Washington,NA,NA,2026-03-10T10:41:00Z,2026-03-10T10:41:43Z,2026-03-10T10:07:35Z,67.4
marc,11705,Train400,2026-03-10,11958,UNION STATION MARC Washington,2026-03-10T09:40:00Z,2026-03-10T09:42:01Z,NA,NA,2026-03-10T10:07:35Z,67.4
marc,11705,Train400,2026-03-10,12002,PENN STATION MARC nb,NA,NA,2026-03-10T10:43:00Z,2026-03-10T10:46:20Z,2026-03-10T10:07:35Z,67.4
marc,11705,Train511,2026-03-10,11980,PENN STATION MARC sb,2026-03-10T10:13:00Z,2026-03-10T10:13:58Z,2026-03-10T10:09:05Z,2026-03-10T10:05:26Z,2026-03-10T10:07:35Z,67.4
marc,11705,Train511,2026-03-10,11958,UNION STATION MARC Washington,NA,NA,2026-03-10T11:08:00Z,2026-03-10T11:08:58Z,2026-03-10T10:07:35Z,67.4
marc,11705,Train505,2026-03-10,11980,PENN STATION MARC sb,2026-03-10T09:10:00Z,2026-03-10T09:10:26Z,2026-03-10T09:09:30Z,2026-03-10T09:10:02Z,2026-03-10T10:07:35Z,67.4
marc,11705,Train505,2026-03-10,11958,UNION STATION MARC Washington,NA,NA,2026-03-10T10:10:00Z,2026-03-10T10:11:18Z,2026-03-10T10:07:35Z,67.4
amtrak,NER,66,2026-03-10,BAL,Baltimore Penn Station,2026-03-10T02:51:00Z,2026-03-10T02:51:00Z,2026-03-10T02:49:00Z,2026-03-10T02:49:00Z,2026-03-10T10:07:35Z,67.4
amtrak,NER,66,2026-03-10,WAS,Washington Union Station,2026-03-10T02:00:00Z,2026-03-10T02:00:00Z,2026-03-10T01:28:00Z,2026-03-10T01:29:00Z,2026-03-10T10:07:35Z,67.4
amtrak,NER,67,2026-03-10,BAL,Baltimore Penn Station,2026-03-10T10:04:00Z,2026-03-10T10:04:00Z,2026-03-10T10:02:00Z,2026-03-10T09:59:00Z,2026-03-10T10:07:35Z,67.4
amtrak,NER,67,2026-03-10,WAS,Washington Union Station,2026-03-10T11:20:00Z,2026-03-10T10:54:00Z,2026-03-10T10:54:00Z,2026-03-10T10:54:00Z,2026-03-10T10:07:35Z,67.4
amtrak,NER,109,2026-03-10,BAL,Baltimore Penn Station,2026-03-10T12:19:00Z,2026-03-10T12:20:00Z,2026-03-10T12:17:00Z,2026-03-10T12:20:00Z,2026-03-10T10:07:35Z,67.4
amtrak,NER,109,2026-03-10,WAS,Washington Union Station,2026-03-10T13:01:00Z,2026-03-10T13:04:00Z,2026-03-10T13:01:00Z,2026-03-10T13:04:00Z,2026-03-10T10:07:35Z,67.4
