service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at,drive_min
marc,11705,Train430,2026-08-28,11958,UNION STATION MARC Washington,2026-08-28T20:30:00Z,2026-08-28T20:31:24Z,NA,NA,2026-08-28T21:02:33Z,98.8
marc,11705,Train430,2026-08-28,12002,PENN STATION MARC nb,NA,NA,2026-08-28T21:29:00Z,2026-08-28T21:34:52Z,2026-08-28T21:02:33Z,98.8
marc,11705,Train443,2026-08-28,11980,PENN STATION MARC sb,2026-08-28T20:52:00Z,2026-08-28T20:52:15Z,NA,NA,2026-08-28T21:02:33Z,98.8
marc,11705,Train443,2026-08-28,11958,UNION STATION MARC Washington,NA,NA,2026-08-28T21:51:00Z,2026-08-28T21:53:56Z,2026-08-28T21:02:33Z,98.8
marc,11705,Train532,2026-08-28,11958,UNION STATION MARC Washington,2026-08-28T20:10:00Z,2026-08-28T20:11:17Z,NA,NA,2026-08-28T21:02:33Z,98.8
marc,11705,Train532,2026-08-28,12002,PENN STATION MARC nb,2026-08-28T21:01:00Z,2026-08-28T21:03:43Z,2026-08-28T21:00:30Z,2026-08-28T21:03:13Z,2026-08-28T21:02:33Z,98.8
marc,11705,Train634,2026-08-28,11958,UNION STATION MARC Washington,2026-08-28T20:45:00Z,2026-08-28T20:46:46Z,NA,NA,2026-08-28T21:02:33Z,98.8
marc,11705,Train634,2026-08-28,12002,PENN STATION MARC nb,2026-08-28T21:37:00Z,2026-08-28T21:38:03Z,2026-08-28T21:34:50Z,2026-08-28T21:35:53Z,2026-08-28T21:02:33Z,98.8
marc,11705,Train641,2026-08-28,11980,PENN STATION MARC sb,2026-08-28T20:08:00Z,2026-08-28T20:09:33Z,2026-08-28T20:07:00Z,2026-08-28T20:01:15Z,2026-08-28T21:02:33Z,98.8
marc,11705,Train641,2026-08-28,11958,UNION STATION MARC Washington,NA,NA,2026-08-28T21:01:00Z,2026-08-28T21:07:43Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,66,2026-08-28,BAL,Baltimore Penn Station,2026-08-29T03:01:00Z,2026-08-29T02:49:00Z,2026-08-29T02:49:00Z,2026-08-29T02:49:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,66,2026-08-28,WAS,Washington Union Station,2026-08-29T02:00:00Z,2026-08-29T01:28:00Z,2026-08-29T01:28:00Z,2026-08-29T01:28:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,85,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T21:56:00Z,2026-08-28T21:53:00Z,2026-08-28T21:53:00Z,2026-08-28T21:53:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,85,2026-08-28,WAS,Washington Union Station,2026-08-28T22:45:00Z,2026-08-28T22:34:00Z,2026-08-28T22:45:00Z,2026-08-28T22:34:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,93,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T20:47:00Z,2026-08-28T20:49:00Z,2026-08-28T20:45:00Z,2026-08-28T20:46:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,93,2026-08-28,WAS,Washington Union Station,2026-08-28T22:05:00Z,2026-08-28T21:33:00Z,2026-08-28T21:33:00Z,2026-08-28T21:33:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,94,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T18:43:00Z,2026-08-28T18:49:00Z,2026-08-28T18:41:00Z,2026-08-28T18:45:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,94,2026-08-28,WAS,Washington Union Station,2026-08-28T18:00:00Z,2026-08-28T18:02:00Z,2026-08-28T17:23:00Z,2026-08-28T17:39:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,95,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T17:27:00Z,2026-08-28T20:08:00Z,2026-08-28T17:22:00Z,2026-08-28T20:05:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,95,2026-08-28,WAS,Washington Union Station,2026-08-28T18:35:00Z,2026-08-28T21:18:00Z,2026-08-28T18:05:00Z,2026-08-28T20:57:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,125,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T18:34:00Z,2026-08-28T19:18:00Z,2026-08-28T18:31:00Z,2026-08-28T19:15:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,125,2026-08-28,WAS,Washington Union Station,2026-08-28T19:50:00Z,2026-08-28T20:37:00Z,2026-08-28T19:17:00Z,2026-08-28T20:03:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,129,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T23:18:00Z,2026-08-28T23:12:00Z,2026-08-28T23:12:00Z,2026-08-28T23:12:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,129,2026-08-28,WAS,Washington Union Station,2026-08-29T00:01:00Z,2026-08-28T23:55:00Z,2026-08-29T00:01:00Z,2026-08-28T23:55:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,136,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T21:43:00Z,2026-08-28T21:43:00Z,2026-08-28T21:41:00Z,2026-08-28T21:41:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,136,2026-08-28,WAS,Washington Union Station,2026-08-28T21:00:00Z,2026-08-28T21:00:00Z,2026-08-28T21:00:00Z,2026-08-28T21:00:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,137,2026-08-28,BAL,Baltimore Penn Station,2026-08-29T01:12:00Z,2026-08-29T01:10:00Z,2026-08-29T01:10:00Z,2026-08-29T01:10:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,137,2026-08-28,WAS,Washington Union Station,2026-08-29T02:00:00Z,2026-08-29T01:49:00Z,2026-08-29T02:00:00Z,2026-08-29T01:49:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,138,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T23:18:00Z,2026-08-28T23:16:00Z,2026-08-28T23:16:00Z,2026-08-28T23:16:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,138,2026-08-28,WAS,Washington Union Station,2026-08-28T22:35:00Z,2026-08-28T21:42:00Z,2026-08-28T21:42:00Z,2026-08-28T21:42:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,148,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T19:38:00Z,2026-08-28T19:38:00Z,2026-08-28T19:36:00Z,2026-08-28T19:36:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,148,2026-08-28,WAS,Washington Union Station,2026-08-28T18:55:00Z,2026-08-28T18:55:00Z,2026-08-28T18:55:00Z,2026-08-28T18:55:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,171,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T19:36:00Z,2026-08-28T19:36:00Z,2026-08-28T19:33:00Z,2026-08-28T19:34:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,171,2026-08-28,WAS,Washington Union Station,2026-08-28T21:00:00Z,2026-08-28T21:00:00Z,2026-08-28T20:28:00Z,2026-08-28T20:22:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,173,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T22:49:00Z,2026-08-28T23:01:00Z,2026-08-28T22:46:00Z,2026-08-28T23:01:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,173,2026-08-28,WAS,Washington Union Station,2026-08-28T23:38:00Z,2026-08-28T23:37:00Z,2026-08-28T23:38:00Z,2026-08-28T23:37:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,174,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T15:18:00Z,2026-08-28T15:26:00Z,2026-08-28T15:16:00Z,2026-08-28T15:16:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,174,2026-08-28,WAS,Washington Union Station,2026-08-28T14:35:00Z,2026-08-28T14:35:00Z,2026-08-28T14:35:00Z,2026-08-28T14:35:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,175,2026-08-28,BAL,Baltimore Penn Station,2026-08-29T02:37:00Z,2026-08-29T02:35:00Z,2026-08-29T02:35:00Z,2026-08-29T02:35:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,175,2026-08-28,WAS,Washington Union Station,2026-08-29T03:19:00Z,2026-08-29T03:14:00Z,2026-08-29T03:19:00Z,2026-08-29T03:14:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,176,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T20:08:00Z,2026-08-28T20:26:00Z,2026-08-28T20:06:00Z,2026-08-28T20:22:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,176,2026-08-28,WAS,Washington Union Station,2026-08-28T19:30:00Z,2026-08-28T19:30:00Z,2026-08-28T19:30:00Z,2026-08-28T19:30:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,178,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T20:39:00Z,2026-08-28T21:15:00Z,2026-08-28T20:37:00Z,2026-08-28T21:15:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,178,2026-08-28,WAS,Washington Union Station,2026-08-28T19:56:00Z,2026-08-28T20:40:00Z,2026-08-28T18:55:00Z,2026-08-28T20:04:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,182,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T14:13:00Z,2026-08-28T14:13:00Z,2026-08-28T14:11:00Z,2026-08-28T14:10:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,182,2026-08-28,WAS,Washington Union Station,2026-08-28T13:29:00Z,2026-08-28T13:29:00Z,2026-08-28T13:29:00Z,2026-08-28T13:29:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,184,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T17:54:00Z,2026-08-28T17:56:00Z,2026-08-28T17:52:00Z,2026-08-28T17:49:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,184,2026-08-28,WAS,Washington Union Station,2026-08-28T17:20:00Z,2026-08-28T17:20:00Z,2026-08-28T17:20:00Z,2026-08-28T17:20:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,186,2026-08-28,BAL,Baltimore Penn Station,2026-08-29T01:14:00Z,2026-08-29T01:12:00Z,2026-08-29T01:12:00Z,2026-08-29T01:12:00Z,2026-08-28T21:02:33Z,98.8
amtrak,NER,186,2026-08-28,WAS,Washington Union Station,2026-08-29T00:30:00Z,2026-08-28T23:55:00Z,2026-08-28T23:55:00Z,2026-08-28T23:55:00Z,2026-08-28T21:02:33Z,98.8
marc,11705,Train430,2026-08-28,11958,UNION STATION MARC Washington,2026-08-28T20:30:00Z,2026-08-28T20:31:24Z,NA,NA,2026-08-28T21:05:35Z,99
marc,11705,Train430,2026-08-28,12002,PENN STATION MARC nb,NA,NA,2026-08-28T21:29:00Z,2026-08-28T21:34:37Z,2026-08-28T21:05:35Z,99
marc,11705,Train443,2026-08-28,11980,PENN STATION MARC sb,2026-08-28T20:52:00Z,2026-08-28T20:52:15Z,NA,NA,2026-08-28T21:05:35Z,99
marc,11705,Train443,2026-08-28,11958,UNION STATION MARC Washington,NA,NA,2026-08-28T21:51:00Z,2026-08-28T21:54:00Z,2026-08-28T21:05:35Z,99
marc,11705,Train532,2026-08-28,11958,UNION STATION MARC Washington,2026-08-28T20:10:00Z,2026-08-28T20:11:17Z,NA,NA,2026-08-28T21:05:35Z,99
marc,11705,Train532,2026-08-28,12002,PENN STATION MARC nb,2026-08-28T21:01:00Z,2026-08-28T21:03:47Z,2026-08-28T21:00:30Z,2026-08-28T21:03:17Z,2026-08-28T21:05:35Z,99
marc,11705,Train634,2026-08-28,11958,UNION STATION MARC Washington,2026-08-28T20:45:00Z,2026-08-28T20:46:46Z,NA,NA,2026-08-28T21:05:35Z,99
marc,11705,Train634,2026-08-28,12002,PENN STATION MARC nb,2026-08-28T21:37:00Z,2026-08-28T21:38:03Z,2026-08-28T21:34:50Z,2026-08-28T21:35:53Z,2026-08-28T21:05:35Z,99
marc,11705,Train641,2026-08-28,11980,PENN STATION MARC sb,2026-08-28T20:08:00Z,2026-08-28T20:09:33Z,2026-08-28T20:07:00Z,2026-08-28T20:01:15Z,2026-08-28T21:05:35Z,99
marc,11705,Train641,2026-08-28,11958,UNION STATION MARC Washington,NA,NA,2026-08-28T21:01:00Z,2026-08-28T21:05:57Z,2026-08-28T21:05:35Z,99
amtrak,NER,66,2026-08-28,BAL,Baltimore Penn Station,2026-08-29T03:01:00Z,2026-08-29T02:49:00Z,2026-08-29T02:49:00Z,2026-08-29T02:49:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,66,2026-08-28,WAS,Washington Union Station,2026-08-29T02:00:00Z,2026-08-29T01:28:00Z,2026-08-29T01:28:00Z,2026-08-29T01:28:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,85,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T21:56:00Z,2026-08-28T21:53:00Z,2026-08-28T21:53:00Z,2026-08-28T21:53:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,85,2026-08-28,WAS,Washington Union Station,2026-08-28T22:45:00Z,2026-08-28T22:34:00Z,2026-08-28T22:45:00Z,2026-08-28T22:34:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,93,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T20:47:00Z,2026-08-28T20:49:00Z,2026-08-28T20:45:00Z,2026-08-28T20:46:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,93,2026-08-28,WAS,Washington Union Station,2026-08-28T22:05:00Z,2026-08-28T21:33:00Z,2026-08-28T21:33:00Z,2026-08-28T21:33:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,94,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T18:43:00Z,2026-08-28T18:49:00Z,2026-08-28T18:41:00Z,2026-08-28T18:45:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,94,2026-08-28,WAS,Washington Union Station,2026-08-28T18:00:00Z,2026-08-28T18:02:00Z,2026-08-28T17:23:00Z,2026-08-28T17:39:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,95,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T17:27:00Z,2026-08-28T20:08:00Z,2026-08-28T17:22:00Z,2026-08-28T20:05:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,95,2026-08-28,WAS,Washington Union Station,2026-08-28T18:35:00Z,2026-08-28T21:18:00Z,2026-08-28T18:05:00Z,2026-08-28T20:57:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,125,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T18:34:00Z,2026-08-28T19:18:00Z,2026-08-28T18:31:00Z,2026-08-28T19:15:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,125,2026-08-28,WAS,Washington Union Station,2026-08-28T19:50:00Z,2026-08-28T20:37:00Z,2026-08-28T19:17:00Z,2026-08-28T20:03:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,129,2026-08-28,BAL,Baltimore Penn Station,2026-08-28T23:18:00Z,2026-08-28T23:12:00Z,2026-08-28T23:12:00Z,2026-08-28T23:12:00Z,2026-08-28T21:05:35Z,99
amtrak,NER,129,2026-08-28,WAS,Washington Union Station,2026-08-29T00:01:00Z,2026-08-28T23:55:00Z,2026-08-29T00:01:00Z,2026-08-28T23:55:00Z,2026-08-28T21:05:35Z,99
